Index,PartNumber_TLN_BOM,PartNumber_BOM_BOM,Match,Component,Description,End of Prod,Status,Life__Years,EOSL,flag_raise_in_gp,Remark
86,,CKB12248,exact,Circuit Breaker,"SQD-DJN, 400A, 3P, MCSW, W/AUX     ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
87,,CKB12249,exact,Circuit Breaker,"SQD-DJN,600A,3P,MCSW,AUX/24v SHUNT ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
88,,CKB12250,exact,Circuit Breaker,"SQD-DJN, 3P, 600A, MCSW, AUX       ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
89,,CKB13362,exact,Circuit Breaker,"SQD-DJL,3P,600A,MCSW,120V ST/AUX   ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
90,,CKB13541,exact,Circuit Breaker,"SQD,HLL,150A,MCSW,120V ST,65K@480V ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
91,,CKB13945,exact,Circuit Breaker,"3P,400A,50k/600V,SQD,80%,PLGN",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
92,,CKB13946,exact,Circuit Breaker,"3P,400A,50k/600V,SQD,80%,PLGN",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
93,,CKB14125,exact,Circuit Breaker,"SQD-LLN,3P,600A MCSW,AUX/24v SHUNT ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
94,,CKB14126,exact,Circuit Breaker,"SQD-LLN, 600A, 3P, MCSW, W/AUX     ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
95,,CKB14142,exact,Circuit Breaker,"SQD-JLL,3P,250A,480V,100KA,MCSW,   ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
96,,CKB15663,exact,Circuit Breaker,"SQD-LLL,3P,400A,480V,100KA,MCS,120V",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
97,,CKB18687,exact,Circuit Breaker,"SQD-LGL,3P,600A,480V,355KA,MCSW    ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
98,,CKB57178,exact,Circuit Breaker,"3P,600A,50k/600V,SQD,80%,LUGS,MCSW ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
99,,CKB69644,exact,Circuit Breaker,"3P,1000A,65KA,480V,SQD,MCS,LUGS,   ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
100,,CKB72447,exact,Circuit Breaker,"SWITCH,1600A,3P,PDG5,MCSW,ETN",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
101,,CKB73161,exact,Circuit Breaker,"800A,3P,65K,480V,MCSW,ETN          ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
102,,CKB73178,exact,Circuit Breaker,"1200A,3P,65K,480V,MCSW,ETN         ",,Active,14,,TRUE,Ref sheet ( MCSW Tola)
